transaction_id,customer_id,amount,currency,channel,created_ts,discount_code,is_refund
10001,767,277.68,GBP,mobile,2024-01-08T16:48:00,,
10002,1109,373.77,NULL,store,2024-05-12T00:36:00,,1
10003,1405,223.83,EUR,mobile,,SPRING,false
10004,545,628.58,EUR,web,2024-03-23T13:11:00,,0
10005,1257,155.76,USD,mobile,2024-05-01T08:38:00,SPRING,true
"unterminated,quote,here
10007,379,369.57,USD,store,2024-01-31T18:35:00,SPRING,1
10008,1484,274.91,EUR,,2024-05-15T07:10:00,,true
,,,
10010,1431,,EUR,store,2024-02-28T21:04:00,,
10011,398,,,store,2024-02-05T07:32:00,SPRING,0
10012,795,215.12,EUR,web,2024-01-27T04:51:00,None,
10013,819,446.35,GBP,,2024-02-19T17:16:00,NEW10,
10014,158,359.74,EUR,web,2024-02-28T14:54:00,,0
10015,364,698.36,USD,web,2024-04-13T05:41:00,NEW10,
10016,618,556.03,GBP,store,2024-03-24T20:08:00,SPRING,false
10017,874,87.03,NULL,,2024-01-03T18:10:00,,0
10018,1066,525.8,EUR,web,2024-03-26T10:20:00,NEW10,1
10019,1486,,NULL,,2024-05-11T04:42:00,,true
10020,1481,302.6,GBP,store,2024-01-29T16:46:00,None,0
10021,515,683.29,EUR,web,2024-05-02T15:33:00,SPRING,0
10022,1074,466.31,USD,store,2024-01-20T01:12:00,SPRING,
10023,271,43.53,USD,store,,,true
10024,557,487.68,,store,2024-04-11T09:40:00,SPRING,
10025,1326,,,mobile,2024-01-24T02:02:00,NEW10,
10026,1314,253.53,,web,,NEW10,
10027,774,567.84,GBP,mobile,,,0
10028,871,473.51,,,2024-03-15T13:55:00,,
10029,1480,,EUR,web,2024-04-04T18:36:00,,
10030,1488,,USD,web,2024-02-15T06:30:00,,true
10031,791,462.35,EUR,mobile,2024-02-08T02:14:00,SPRING,true
10032,91,,USD,web,2024-03-08T02:49:00,,
10033,417,99.18,EUR,,2024-04-16T14:18:00,,
10034,1020,397.6,,web,2024-04-09T00:23:00,,
10035,572,61.38,EUR,,2024-01-29T09:19:00,SPRING,
10036,29,297.21,GBP,mobile,,,true
10037,542,575.67,,store,2024-01-27T14:49:00,,1
10038,525,,,mobile,,,true
10039,664,495.4,,web,2024-04-17T20:28:00,,true
10040,112,210.28,,,2024-05-18T15:10:00,None,
10041,901,279.92,EUR,,2024-04-09T02:48:00,SPRING,
10042,328,596.09,USD,mobile,2024-02-10T14:03:00,None,false
10043,1395,,,web,2024-05-14T22:27:00,NEW10,0
10044,636,,,web,2024-04-01T14:12:00,NEW10,
10045,360,95.16,,store,2024-05-02T02:52:00,NEW10,1
10046,1456,269.87,NULL,store,2024-01-25T17:30:00,,
10047,1005,175.29,USD,store,,SPRING,1
10048,208,88.43,NULL,store,2024-04-16T15:00:00,None,
"unterminated,quote,here
10050,424,557.79,NULL,web,2024-05-18T07:55:00,NEW10,
10051,1469,693.23,NULL,store,,NEW10,
10052,280,241.55,EUR,mobile,2024-04-21T04:44:00,None,
10053,1481,,GBP,store,2024-04-28T19:59:00,NEW10,
