id	user_id	price_usd	tax	final_amount	payment_type
30001	977	$336.51	23.56	360.07	cash
30002	172	173.22	12.13	185.35	
30003	1165	516.89	36.18	553.0699999999999	card
30004	171	400.36	28.03	428.39	card
30005	1170	468.39	32.79	501.18	paypal
30006	1322	416.17	29.13	445.3	
30007	1119		34.59	528.77	card
30008	61	240.73		257.58	
30009	785	128.29	8.98		card
30010	296	804.92	56.34	861.26	cash
30011	1337	401.36	28.1	429.46000000000004	cash
30012	296	645.76	45.2		card
30013	110	592.46	41.47	633.9300000000001	paypal
30014	320	509.53	35.67	545.1999999999999	paypal
30015	1281	22.06		23.599999999999998	cash
30016	50	9.73	0.68	10.41	
30017	62	153.04	10.71	163.75	paypal
30018	383		1.6	24.400000000000002	cash
30019	1318	202.63	14.18	216.81	cash
30020	94	21.81	1.53	23.34	cash
30021	154	151.38	10.6	161.98	cash
30022	161	116.92	8.18	125.1	
30023	1098	850.56		910.0999999999999	paypal
30024	845	305.43	21.38	326.81	cash
30025	147	235.63	16.49	252.12	card
30026	1017	634.69	44.43	679.12	
30027	775	423.75	29.66	453.41	
30028	1439	557.89	39.05		cash
30029	1086	633.81	44.37	678.18	paypal
30030	642	$372.98	26.11	399.09000000000003	card
30031	1175	430.58	30.14	460.71999999999997	paypal
30032	1313	393.97	27.58	421.55	cash
30033	1380				paypal
30034	403	$663.12	46.42	709.54	
30035	770		38.88	594.37	
30036	294	242.04	16.94	258.98	
30037	431		7.99	122.08999999999999	cash
30038	1316	190.68	13.35	204.03	card
30039	982	546.26	38.24	584.5	cash
30040	937	636.43	44.55	680.9799999999999	card
30041	1094		31.26	477.78999999999996	cash
30042	1208	729.56	51.07	780.63	card
30043	513	383.59	26.85	410.44	
30044	1075			451.6	cash
30045	265	866.62	60.66	927.28	paypal
30046	115		18.07	276.23	cash
30047	1351	506.13			cash
30048	746	306.07	21.42	327.49	paypal
30049	562	615.83	43.11	658.94	
30050	1399	42.91	3.0		card
30051	73		32.19	491.98	paypal
30052	923	$847.67	59.34		
30053	1058	727.89	50.95	778.84	
30054	410	618.23	43.28		
30055	72	798.69	55.91	854.6	paypal
30056	167	134.66	9.43	144.09	
30057	1246	295.27	20.67	315.94	card
30058	48	$372.08	26.05	398.13	paypal
30059	852	675.53	47.29		card
30060	870	438.97	30.73	469.70000000000005	card
30061	1443	578.84	40.52	619.36	paypal
30062	286	824.29	57.7		paypal
30063	1494	75.66		80.96	
30064	240	166.78	11.67	178.45	card
30065	774	778.55	54.5	833.05	card
30066	521	882.68		944.4699999999999	cash
30067	992	324.99	22.75		
30068	1468	650.21	45.51	695.72	card
30069	424	808.26	56.58	864.84	cash
30070	975		29.49	450.79	cash
30071	274	708.6		758.2	paypal
30072	383		56.66	866.0699999999999	cash
30073	1461	249.42	17.46	266.88	paypal
30074	425	794.72	55.63	850.35	cash
30075	1304	65.72	4.6	70.32	card
30076	63	151.49	10.6	162.09	paypal
30077	241		31.02	474.10999999999996	cash
30078	907	28.31		30.29	card
30079	863	678.54	47.5	726.04	paypal
30080	8	96.82	6.78	103.6	
30081	1406	322.68	22.59	345.27	cash
30082	45	548.65	38.41	587.06	card
30083	712		57.46		paypal
30084	901			696.0799999999999	paypal
30085	593	130.89	9.16		paypal
30086	625	43.17	3.02	46.190000000000005	cash
30087	872	31.39	2.2		paypal
30088	1164	651.79	45.63		
30089	208	688.31	48.18		card
30090	873	206.93		221.42000000000002	
30091	941	816.53	57.16	873.6899999999999	card
30092	1108	714.52	50.02	764.54	paypal
30093	1325			532.1800000000001	card
30094	1061	246.37	17.25	263.62	card
30095	1413	307.04	21.49	328.53000000000003	
